seed,batch_seed,slice,steps_total,steps_below_floor,pct_steps_below_floor,verdict
950,950000,embb,240,26,10.8,CAP-RIDING
950,950000,urllc,240,240,100.0,FLOOR-PINNED
950,950000,mmtc,240,240,100.0,FLOOR-PINNED
951,951000,embb,120,8,6.7,CAP-RIDING
951,951000,urllc,120,120,100.0,FLOOR-PINNED
951,951000,mmtc,120,120,100.0,FLOOR-PINNED
952,952000,embb,120,11,9.2,CAP-RIDING
952,952000,urllc,120,120,100.0,FLOOR-PINNED
952,952000,mmtc,120,120,100.0,FLOOR-PINNED
953,953000,embb,120,17,14.2,CAP-RIDING
953,953000,urllc,120,120,100.0,FLOOR-PINNED
953,953000,mmtc,120,120,100.0,FLOOR-PINNED
954,954000,embb,120,18,15.0,CAP-RIDING
954,954000,urllc,120,120,100.0,FLOOR-PINNED
954,954000,mmtc,120,120,100.0,FLOOR-PINNED
955,955000,embb,120,12,10.0,CAP-RIDING
955,955000,urllc,120,120,100.0,FLOOR-PINNED
955,955000,mmtc,120,120,100.0,FLOOR-PINNED
956,956000,embb,120,19,15.8,CAP-RIDING
956,956000,urllc,120,120,100.0,FLOOR-PINNED
956,956000,mmtc,120,120,100.0,FLOOR-PINNED
957,957000,embb,120,22,18.3,CAP-RIDING
957,957000,urllc,120,120,100.0,FLOOR-PINNED
957,957000,mmtc,120,120,100.0,FLOOR-PINNED
958,958000,embb,120,16,13.3,CAP-RIDING
958,958000,urllc,120,120,100.0,FLOOR-PINNED
958,958000,mmtc,120,120,100.0,FLOOR-PINNED
959,959000,embb,120,26,21.7,MIXED
959,959000,urllc,120,120,100.0,FLOOR-PINNED
959,959000,mmtc,120,120,100.0,FLOOR-PINNED
960,960000,embb,120,29,24.2,MIXED
960,960000,urllc,120,120,100.0,FLOOR-PINNED
960,960000,mmtc,120,120,100.0,FLOOR-PINNED
961,961000,embb,120,5,4.2,CAP-RIDING
961,961000,urllc,120,120,100.0,FLOOR-PINNED
961,961000,mmtc,120,120,100.0,FLOOR-PINNED
962,962000,embb,120,15,12.5,CAP-RIDING
962,962000,urllc,120,120,100.0,FLOOR-PINNED
962,962000,mmtc,120,120,100.0,FLOOR-PINNED
963,963000,embb,120,9,7.5,CAP-RIDING
963,963000,urllc,120,120,100.0,FLOOR-PINNED
963,963000,mmtc,120,120,100.0,FLOOR-PINNED
964,964000,embb,120,14,11.7,CAP-RIDING
964,964000,urllc,120,120,100.0,FLOOR-PINNED
964,964000,mmtc,120,120,100.0,FLOOR-PINNED
965,965000,embb,120,11,9.2,CAP-RIDING
965,965000,urllc,120,120,100.0,FLOOR-PINNED
965,965000,mmtc,120,120,100.0,FLOOR-PINNED
966,966000,embb,120,22,18.3,CAP-RIDING
966,966000,urllc,120,120,100.0,FLOOR-PINNED
966,966000,mmtc,120,120,100.0,FLOOR-PINNED
967,967000,embb,120,11,9.2,CAP-RIDING
967,967000,urllc,120,120,100.0,FLOOR-PINNED
967,967000,mmtc,120,120,100.0,FLOOR-PINNED
968,968000,embb,120,14,11.7,CAP-RIDING
968,968000,urllc,120,120,100.0,FLOOR-PINNED
968,968000,mmtc,120,120,100.0,FLOOR-PINNED
969,969000,embb,120,16,13.3,CAP-RIDING
969,969000,urllc,120,120,100.0,FLOOR-PINNED
969,969000,mmtc,120,120,100.0,FLOOR-PINNED
970,970000,embb,120,28,23.3,MIXED
970,970000,urllc,120,120,100.0,FLOOR-PINNED
970,970000,mmtc,120,120,100.0,FLOOR-PINNED
971,971000,embb,120,23,19.2,CAP-RIDING
971,971000,urllc,120,120,100.0,FLOOR-PINNED
971,971000,mmtc,120,120,100.0,FLOOR-PINNED
972,972000,embb,120,6,5.0,CAP-RIDING
972,972000,urllc,120,120,100.0,FLOOR-PINNED
972,972000,mmtc,120,120,100.0,FLOOR-PINNED
973,973000,embb,120,24,20.0,CAP-RIDING
973,973000,urllc,120,120,100.0,FLOOR-PINNED
973,973000,mmtc,120,120,100.0,FLOOR-PINNED
974,974000,embb,120,13,10.8,CAP-RIDING
974,974000,urllc,120,120,100.0,FLOOR-PINNED
974,974000,mmtc,120,120,100.0,FLOOR-PINNED
975,975000,embb,120,17,14.2,CAP-RIDING
975,975000,urllc,120,120,100.0,FLOOR-PINNED
975,975000,mmtc,120,120,100.0,FLOOR-PINNED
976,976000,embb,120,26,21.7,MIXED
976,976000,urllc,120,120,100.0,FLOOR-PINNED
976,976000,mmtc,120,120,100.0,FLOOR-PINNED
977,977000,embb,120,16,13.3,CAP-RIDING
977,977000,urllc,120,120,100.0,FLOOR-PINNED
977,977000,mmtc,120,120,100.0,FLOOR-PINNED
