Connecting to host 172.22.0.50, port 5203
Reverse mode, remote host 172.22.0.50 is sending
[  5] local 192.168.200.2 port 37311 connected to 172.22.0.50 port 5203
[ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[  5]   0.00-1.00   sec  30.6 KBytes   251 Kbits/sec  0.991 ms  0/392 (0%)  
[  5]   1.00-2.00   sec  30.5 KBytes   250 Kbits/sec  0.628 ms  0/390 (0%)  
[  5]   2.00-3.00   sec  30.5 KBytes   250 Kbits/sec  0.695 ms  0/391 (0%)  
[  5]   3.00-4.00   sec  30.5 KBytes   250 Kbits/sec  0.694 ms  0/390 (0%)  
[  5]   4.00-5.00   sec  30.5 KBytes   250 Kbits/sec  0.549 ms  0/391 (0%)  
[  5]   5.00-6.00   sec  30.5 KBytes   250 Kbits/sec  0.859 ms  0/390 (0%)  
[  5]   6.00-7.00   sec  30.5 KBytes   250 Kbits/sec  0.717 ms  0/391 (0%)  
[  5]   7.00-8.00   sec  30.5 KBytes   250 Kbits/sec  0.638 ms  0/391 (0%)  
[  5]   8.00-9.00   sec  30.5 KBytes   250 Kbits/sec  0.905 ms  0/390 (0%)  
[  5]   9.00-10.00  sec  30.5 KBytes   250 Kbits/sec  0.697 ms  0/391 (0%)  
[  5]  10.00-11.00  sec  30.5 KBytes   250 Kbits/sec  0.684 ms  0/391 (0%)  
[  5]  11.00-12.00  sec  30.5 KBytes   250 Kbits/sec  0.751 ms  0/390 (0%)  
[  5]  12.00-13.00  sec  30.5 KBytes   250 Kbits/sec  0.842 ms  0/391 (0%)  
[  5]  13.00-14.00  sec  30.5 KBytes   250 Kbits/sec  0.787 ms  0/391 (0%)  
[  5]  14.00-15.00  sec  30.5 KBytes   250 Kbits/sec  0.747 ms  0/390 (0%)  
[  5]  15.00-16.00  sec  30.5 KBytes   250 Kbits/sec  0.789 ms  0/391 (0%)  
[  5]  16.00-17.00  sec  30.5 KBytes   250 Kbits/sec  0.784 ms  0/391 (0%)  
[  5]  17.00-18.00  sec  30.5 KBytes   250 Kbits/sec  0.765 ms  0/390 (0%)  
[  5]  18.00-19.00  sec  30.5 KBytes   250 Kbits/sec  0.603 ms  0/390 (0%)  
[  5]  19.00-20.00  sec  30.5 KBytes   250 Kbits/sec  0.756 ms  0/391 (0%)  
[  5]  20.00-21.00  sec  30.5 KBytes   250 Kbits/sec  0.665 ms  0/391 (0%)  
[  5]  21.00-22.00  sec  30.5 KBytes   250 Kbits/sec  0.755 ms  0/390 (0%)  
[  5]  22.00-23.00  sec  30.5 KBytes   250 Kbits/sec  0.876 ms  0/391 (0%)  
[  5]  23.00-24.00  sec  30.5 KBytes   250 Kbits/sec  0.840 ms  0/391 (0%)  
[  5]  24.00-25.00  sec  30.5 KBytes   250 Kbits/sec  1.046 ms  0/391 (0%)  
[  5]  25.00-26.00  sec  30.5 KBytes   250 Kbits/sec  0.886 ms  0/390 (0%)  
[  5]  26.00-27.00  sec  30.5 KBytes   250 Kbits/sec  0.648 ms  0/391 (0%)  
[  5]  27.00-28.00  sec  30.5 KBytes   250 Kbits/sec  0.922 ms  0/390 (0%)  
[  5]  28.00-29.00  sec  30.5 KBytes   250 Kbits/sec  0.816 ms  0/391 (0%)  
[  5]  29.00-30.00  sec  30.5 KBytes   250 Kbits/sec  0.756 ms  0/391 (0%)  
[  5]  30.00-31.00  sec  30.5 KBytes   250 Kbits/sec  0.824 ms  0/390 (0%)  
[  5]  31.00-32.00  sec  30.5 KBytes   250 Kbits/sec  0.743 ms  0/391 (0%)  
[  5]  32.00-33.00  sec  30.5 KBytes   249 Kbits/sec  0.604 ms  0/390 (0%)  
[  5]  33.00-34.00  sec  30.5 KBytes   250 Kbits/sec  0.618 ms  0/391 (0%)  
[  5]  34.00-35.00  sec  30.5 KBytes   250 Kbits/sec  0.664 ms  0/390 (0%)  
[  5]  35.00-36.00  sec  30.5 KBytes   250 Kbits/sec  0.803 ms  0/391 (0%)  
[  5]  36.00-37.00  sec  30.5 KBytes   250 Kbits/sec  0.779 ms  0/391 (0%)  
[  5]  37.00-38.00  sec  30.5 KBytes   250 Kbits/sec  0.680 ms  0/391 (0%)  
[  5]  37.00-38.00  sec  30.5 KBytes   250 Kbits/sec  0.680 ms  0/391 (0%)  
iperf3: error - control socket has closed unexpectedly
