Connecting to host 172.22.0.50, port 5202
Reverse mode, remote host 172.22.0.50 is sending
[  5] local 192.168.102.2 port 48258 connected to 172.22.0.50 port 5202
[ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[  5]   0.00-1.00   sec   365 KBytes  2.99 Mbits/sec  0.553 ms  0/3738 (0%)  
[  5]   1.00-2.00   sec   368 KBytes  3.01 Mbits/sec  0.377 ms  0/3764 (0%)  
[  5]   2.00-3.00   sec   366 KBytes  3.00 Mbits/sec  0.315 ms  0/3751 (0%)  
[  5]   3.00-4.00   sec   366 KBytes  3.00 Mbits/sec  0.349 ms  0/3751 (0%)  
[  5]   4.00-5.00   sec   366 KBytes  3.00 Mbits/sec  0.349 ms  0/3750 (0%)  
[  5]   5.00-6.00   sec   366 KBytes  3.00 Mbits/sec  0.370 ms  0/3745 (0%)  
[  5]   6.00-7.00   sec   367 KBytes  3.00 Mbits/sec  0.357 ms  0/3756 (0%)  
[  5]   7.00-8.00   sec   366 KBytes  3.00 Mbits/sec  0.378 ms  0/3749 (0%)  
[  5]   8.00-9.00   sec   366 KBytes  3.00 Mbits/sec  0.356 ms  0/3752 (0%)  
[  5]   9.00-10.00  sec   366 KBytes  2.99 Mbits/sec  0.382 ms  0/3745 (0%)  
[  5]  10.00-11.00  sec   366 KBytes  3.00 Mbits/sec  0.423 ms  0/3750 (0%)  
[  5]  11.00-12.00  sec   366 KBytes  3.00 Mbits/sec  0.346 ms  0/3752 (0%)  
[  5]  12.00-13.00  sec   366 KBytes  3.00 Mbits/sec  0.375 ms  0/3751 (0%)  
[  5]  13.00-14.00  sec   366 KBytes  3.00 Mbits/sec  0.340 ms  0/3752 (0%)  
[  5]  14.00-15.00  sec   366 KBytes  3.00 Mbits/sec  0.341 ms  0/3749 (0%)  
[  5]  15.00-16.00  sec   366 KBytes  3.00 Mbits/sec  0.426 ms  0/3746 (0%)  
[  5]  16.00-17.00  sec   366 KBytes  3.00 Mbits/sec  0.420 ms  0/3749 (0%)  
[  5]  17.00-18.00  sec   367 KBytes  3.00 Mbits/sec  0.330 ms  0/3756 (0%)  
[  5]  18.00-19.00  sec   366 KBytes  3.00 Mbits/sec  0.372 ms  0/3749 (0%)  
[  5]  19.00-20.00  sec   366 KBytes  3.00 Mbits/sec  0.378 ms  0/3750 (0%)  
[  5]  20.00-21.00  sec   366 KBytes  3.00 Mbits/sec  0.361 ms  0/3748 (0%)  
[  5]  21.00-22.00  sec   366 KBytes  3.00 Mbits/sec  0.428 ms  0/3745 (0%)  
[  5]  22.00-23.00  sec   367 KBytes  3.00 Mbits/sec  0.342 ms  0/3754 (0%)  
[  5]  23.00-24.00  sec   366 KBytes  3.00 Mbits/sec  0.362 ms  0/3751 (0%)  
[  5]  24.00-25.00  sec   367 KBytes  3.00 Mbits/sec  0.377 ms  0/3753 (0%)  
[  5]  25.00-26.00  sec   366 KBytes  3.00 Mbits/sec  0.359 ms  0/3747 (0%)  
[  5]  26.00-27.00  sec   367 KBytes  3.00 Mbits/sec  0.360 ms  0/3754 (0%)  
[  5]  27.00-28.00  sec   366 KBytes  3.00 Mbits/sec  0.393 ms  0/3746 (0%)  
[  5]  28.00-29.00  sec   366 KBytes  3.00 Mbits/sec  0.388 ms  0/3746 (0%)  
[  5]  29.00-30.00  sec   367 KBytes  3.00 Mbits/sec  0.393 ms  0/3754 (0%)  
[  5]  30.00-31.00  sec   366 KBytes  3.00 Mbits/sec  0.313 ms  0/3750 (0%)  
[  5]  31.00-32.00  sec   366 KBytes  3.00 Mbits/sec  0.371 ms  0/3752 (0%)  
[  5]  32.00-33.00  sec   366 KBytes  3.00 Mbits/sec  0.387 ms  0/3745 (0%)  
[  5]  33.00-34.00  sec   366 KBytes  3.00 Mbits/sec  0.431 ms  0/3752 (0%)  
[  5]  34.00-35.00  sec   366 KBytes  3.00 Mbits/sec  0.341 ms  0/3748 (0%)  
[  5]  35.00-36.00  sec   366 KBytes  3.00 Mbits/sec  0.356 ms  0/3749 (0%)  
[  5]  36.00-37.00  sec   367 KBytes  3.01 Mbits/sec  0.332 ms  0/3759 (0%)  
[  5]  37.00-38.00  sec   366 KBytes  3.00 Mbits/sec  0.341 ms  0/3746 (0%)  
[  5]  37.00-38.00  sec   366 KBytes  3.00 Mbits/sec  0.341 ms  0/3746 (0%)  
iperf3: error - control socket has closed unexpectedly
