Connecting to host 172.22.0.50, port 5202
Reverse mode, remote host 172.22.0.50 is sending
[  5] local 192.168.102.2 port 38960 connected to 172.22.0.50 port 5202
[ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[  5]   0.00-1.00   sec  73.5 KBytes   602 Kbits/sec  0.798 ms  0/753 (0%)  
[  5]   1.00-2.00   sec  73.1 KBytes   599 Kbits/sec  0.716 ms  0/749 (0%)  
[  5]   2.00-3.00   sec  73.3 KBytes   601 Kbits/sec  0.669 ms  0/751 (0%)  
[  5]   3.00-4.00   sec  73.0 KBytes   598 Kbits/sec  0.627 ms  0/748 (0%)  
[  5]   4.00-5.00   sec  73.4 KBytes   602 Kbits/sec  0.833 ms  0/752 (0%)  
[  5]   5.00-6.00   sec  73.2 KBytes   600 Kbits/sec  0.690 ms  0/750 (0%)  
[  5]   6.00-7.00   sec  73.2 KBytes   600 Kbits/sec  0.761 ms  0/750 (0%)  
[  5]   7.00-8.00   sec  73.2 KBytes   600 Kbits/sec  0.700 ms  0/750 (0%)  
[  5]   8.00-9.00   sec  73.1 KBytes   599 Kbits/sec  0.800 ms  0/749 (0%)  
[  5]   9.00-10.00  sec  73.2 KBytes   600 Kbits/sec  0.676 ms  0/750 (0%)  
[  5]  10.00-11.00  sec  73.2 KBytes   600 Kbits/sec  0.815 ms  0/750 (0%)  
[  5]  11.00-12.00  sec  73.2 KBytes   600 Kbits/sec  0.825 ms  0/750 (0%)  
[  5]  12.00-13.00  sec  73.2 KBytes   600 Kbits/sec  0.716 ms  0/750 (0%)  
[  5]  13.00-14.00  sec  73.2 KBytes   600 Kbits/sec  0.713 ms  0/750 (0%)  
[  5]  14.00-15.00  sec  73.2 KBytes   600 Kbits/sec  0.938 ms  0/750 (0%)  
[  5]  15.00-16.00  sec  73.2 KBytes   600 Kbits/sec  0.682 ms  0/750 (0%)  
[  5]  16.00-17.00  sec  73.3 KBytes   601 Kbits/sec  0.854 ms  0/751 (0%)  
[  5]  17.00-18.00  sec  73.1 KBytes   599 Kbits/sec  0.759 ms  0/749 (0%)  
[  5]  18.00-19.00  sec  73.3 KBytes   601 Kbits/sec  0.672 ms  0/751 (0%)  
[  5]  19.00-20.00  sec  73.2 KBytes   600 Kbits/sec  0.779 ms  0/750 (0%)  
[  5]  20.00-21.00  sec  73.1 KBytes   599 Kbits/sec  0.813 ms  0/749 (0%)  
[  5]  21.00-22.00  sec  73.2 KBytes   600 Kbits/sec  0.746 ms  0/750 (0%)  
[  5]  22.00-23.00  sec  73.2 KBytes   600 Kbits/sec  0.742 ms  0/750 (0%)  
[  5]  23.00-24.00  sec  73.1 KBytes   599 Kbits/sec  0.691 ms  0/749 (0%)  
[  5]  24.00-25.00  sec  73.2 KBytes   600 Kbits/sec  0.636 ms  0/750 (0%)  
[  5]  25.00-26.00  sec  73.3 KBytes   601 Kbits/sec  0.727 ms  0/751 (0%)  
[  5]  26.00-27.00  sec  73.3 KBytes   601 Kbits/sec  0.622 ms  0/751 (0%)  
[  5]  27.00-28.00  sec  73.2 KBytes   600 Kbits/sec  0.768 ms  0/750 (0%)  
[  5]  28.00-29.00  sec  73.2 KBytes   600 Kbits/sec  0.769 ms  0/750 (0%)  
[  5]  29.00-30.00  sec  73.2 KBytes   600 Kbits/sec  0.708 ms  0/750 (0%)  
[  5]  30.00-31.00  sec  73.1 KBytes   599 Kbits/sec  0.655 ms  0/749 (0%)  
[  5]  31.00-32.00  sec  73.3 KBytes   601 Kbits/sec  0.739 ms  0/751 (0%)  
[  5]  32.00-33.00  sec  73.2 KBytes   600 Kbits/sec  0.737 ms  0/750 (0%)  
[  5]  33.00-34.00  sec  73.1 KBytes   599 Kbits/sec  0.872 ms  0/749 (0%)  
[  5]  34.00-35.00  sec  73.2 KBytes   600 Kbits/sec  0.800 ms  0/750 (0%)  
[  5]  35.00-36.00  sec  73.3 KBytes   601 Kbits/sec  0.704 ms  0/751 (0%)  
[  5]  36.00-37.00  sec  73.2 KBytes   600 Kbits/sec  0.713 ms  0/750 (0%)  
[  5]  37.00-38.00  sec  73.2 KBytes   600 Kbits/sec  0.839 ms  0/750 (0%)  
[  5]  37.00-38.00  sec  73.2 KBytes   600 Kbits/sec  0.839 ms  0/750 (0%)  
iperf3: error - control socket has closed unexpectedly
