era,mode,train_seed,slice,reject_intensity,n_valid,n_total,serve_through,shed_classification
MR3,qoe,256,urllc,0.0,24342,37507,0.6744844731349495,indiscriminate_failure
MR3,qoe,256,embb,0.0026292005587051186,24342,37507,0.08446165949968361,indiscriminate_failure
MR3,qoe,257,urllc,0.0,24128,37269,0.681167256114626,indiscriminate_failure
MR3,qoe,257,embb,0.002684449730280763,23543,37269,0.09174723710351526,indiscriminate_failure
MR3,sla,256,urllc,1.0,19982,32116,0.8152191501601558,correct_shed
MR3,sla,256,embb,0.9896506329113923,19750,32116,0.21318284525942144,correct_shed
MR3,sla,257,urllc,0.9732313575525813,23535,36904,0.9998611111111111,correct_shed
MR3,sla,257,embb,0.9598453301606187,23534,36904,0.28648995345030637,correct_shed
MR3c,qoe,256,urllc,4.786979415988511e-05,20890,33342,0.49926579485454525,indiscriminate_failure
MR3c,qoe,256,embb,0.0026041168022977504,20890,33342,0.06358057586916308,indiscriminate_failure
MR3c,qoe,257,urllc,7.982120051085569e-05,25056,38510,0.7215123004275649,indiscriminate_failure
MR3c,qoe,257,embb,0.012859195402298853,25056,38510,0.09165136187275544,indiscriminate_failure
MR3c,sla,256,urllc,0.9999369774379228,23801,37041,0.9998148148148148,correct_shed
MR3c,sla,256,embb,0.9814217292664482,23802,37041,0.29035577767358056,correct_shed
MR3c,sla,257,urllc,0.9737793851717902,24332,37787,1.0,correct_shed
MR3c,sla,257,embb,0.9606526385007397,24332,37787,0.29228535848166026,correct_shed
PF21a,qoe,258,urllc,0.031044609145574047,21453,33550,0.5344340836461929,indiscriminate_failure
PF21a,qoe,258,embb,0.01711648720458677,21453,33550,0.06847023452187237,indiscriminate_failure
PF21a,qoe,259,urllc,5.159160088737554e-05,19383,28018,0.4444501372369205,indiscriminate_failure
PF21a,qoe,259,embb,0.9475313418975391,19383,28018,0.19459537061037457,indiscriminate_failure
PF21a,qoe,260,urllc,4.569339730408956e-05,21885,34198,0.5185538439347627,indiscriminate_failure
PF21a,qoe,260,embb,0.0025771076079506515,21885,34198,0.06883213512967393,indiscriminate_failure
PF21a,sla,258,urllc,0.9999516674722088,20690,32969,0.8153911451116903,correct_shed
PF21a,sla,258,embb,0.9834316094731754,20690,32969,0.21763992277603994,correct_shed
PF21a,sla,259,urllc,0.9999757269770377,20599,32869,0.8157257099166266,correct_shed
PF21a,sla,259,embb,0.9920869945142968,20599,32869,0.2195228542968066,correct_shed
PF21a,sla,260,urllc,0.9657006511905354,20117,32434,0.7709967891697133,correct_shed
PF21a,sla,260,embb,0.9780782422826465,20117,32434,0.2061843921700876,correct_shed
