reward_mode,seed,n_episodes,n_omega_lines,n_train_step_calls,reward_Q1_mean,reward_Q4_mean,reward_improvement,reward_decile1_mean,reward_decile3_mean,reward_decile10_mean,reward_decile1_to_3_drop,reward_decile3_to_10_drift,loss_Q1_mean,loss_Q4_mean,loss_reduction_pct,final_epsilon,checkpoint_path,urllc_maxratio_distinct_count,urllc_maxratio_values,urllc_full_range_exercised,urllc_minratio_values,embb_maxratio_distinct_count,embb_maxratio_values,embb_full_range_exercised,embb_minratio_values,mmtc_maxratio_distinct_count,mmtc_maxratio_values,mmtc_full_range_exercised,mmtc_minratio_values
qoe,256,300,18300,17988,-0.26881009271285256,-0.3481232807057654,-0.07931318799291287,-0.167742117276429,-0.3801714503561068,-0.36283887541979953,-0.2124293330796778,0.017332574936307243,0.15837667721907375,0.5481200216950455,-246.0863249055675,0.05,experiments/results/m46_mr2/offline_train/qoe/seed256/dqn/offline_closed_loop/rep_0/checkpoint.pt,3,"6,7,8",True,6,6,"5,6,7,8,9,10",True,5,1,5,True,5
qoe,257,300,18300,17989,-0.2753886874804816,-0.3641331803738981,-0.08874449289341646,-0.17582577767214444,-0.3756228943542784,-0.3594596358435361,-0.19979711668213399,0.01616325851074235,0.16345326462784512,0.630584137558941,-285.7886466781023,0.05,experiments/results/m46_mr2/offline_train/qoe/seed257/dqn/offline_closed_loop/rep_0/checkpoint.pt,3,"6,7,8",True,6,6,"5,6,7,8,9,10",True,5,1,5,True,5
qoe,258,300,18300,17988,-0.26977525378668915,-0.34932226436091884,-0.07954701057422969,-0.1768056463438624,-0.36591796505028884,-0.35194844852250207,-0.18911231870642645,0.013969516527786774,0.18843431852820372,0.6085428280530929,-222.94692007603163,0.05,experiments/results/m46_mr2/offline_train/qoe/seed258/dqn/offline_closed_loop/rep_0/checkpoint.pt,3,"6,7,8",True,6,6,"5,6,7,8,9,10",True,5,1,5,True,5
qoe,259,300,18300,17988,-0.28050967052341264,-0.3588249324588015,-0.07831526193538885,-0.18439346603442128,-0.29497244707129733,-0.3619454052284892,-0.11057898103687605,-0.0669729581571919,0.2680130484940432,0.5908860355575206,-120.46912972248569,0.05,experiments/results/m46_mr2/offline_train/qoe/seed259/dqn/offline_closed_loop/rep_0/checkpoint.pt,3,"6,7,8",True,6,6,"5,6,7,8,9,10",True,5,1,5,True,5
qoe,260,300,18300,17989,-0.29883942536050845,-0.35706677785964286,-0.05822735249913441,-0.2086312520908187,-0.36683424879833265,-0.35878450085906266,-0.15820299670751395,0.008049747939269991,0.259271912606996,0.5910018986067823,-127.94675006028214,0.05,experiments/results/m46_mr2/offline_train/qoe/seed260/dqn/offline_closed_loop/rep_0/checkpoint.pt,3,"6,7,8",True,6,6,"5,6,7,8,9,10",True,5,1,5,True,5
qoe,261,300,18300,17988,-0.29487011457873835,-0.3524610047676505,-0.05759089018891217,-0.21283210403795305,-0.359995427685428,-0.3428597564930263,-0.14716332364747498,0.017135671192401725,0.23887342304238,0.5779058466099964,-141.92973803848687,0.05,experiments/results/m46_mr2/offline_train/qoe/seed261/dqn/offline_closed_loop/rep_0/checkpoint.pt,3,"6,7,8",True,6,6,"5,6,7,8,9,10",True,5,1,5,True,5
sla,256,300,18300,17988,-6.730301514363678,-9.63374,-2.903438485636322,-3.2945260081314167,-10.880175,-10.236194444444445,-7.585648991868583,0.6439805555555544,88.43327132680561,496.65523995487905,-461.6158177836564,0.05,experiments/results/m46_mr2/offline_train/sla/seed256/dqn/offline_closed_loop/rep_0/checkpoint.pt,3,"6,7,8",True,6,6,"5,6,7,8,9,10",True,5,1,5,True,5
sla,257,300,18300,17989,-7.1495724777226535,-10.22151888888889,-3.071946411166236,-3.5318173054177437,-10.737280555555555,-10.178711111111111,-7.205463250137812,0.5585694444444442,106.01425063572965,506.29113820963283,-377.56894490465714,0.05,experiments/results/m46_mr2/offline_train/sla/seed257/dqn/offline_closed_loop/rep_0/checkpoint.pt,3,"6,7,8",True,6,6,"5,6,7,8,9,10",True,5,1,5,True,5
sla,258,300,18300,17988,-5.881772560835029,-9.677113333333333,-3.795340772498304,-5.790900846532016,-8.918266666666666,-9.476002777777778,-3.12736582013465,-0.5577361111111117,115.70119876694038,569.6713902420379,-392.3642938130142,0.05,experiments/results/m46_mr2/offline_train/sla/seed258/dqn/offline_closed_loop/rep_0/checkpoint.pt,3,"6,7,8",True,6,6,"5,6,7,8,9,10",True,5,1,5,True,5
sla,259,300,18300,17988,-8.333667480853086,-10.259162222222223,-1.9254947413691372,-5.876207591021605,-5.718522222222222,-10.303327777777778,0.15768536879938289,-4.584805555555556,211.55195224306334,487.01241538814634,-130.20936948319522,0.05,experiments/results/m46_mr2/offline_train/sla/seed259/dqn/offline_closed_loop/rep_0/checkpoint.pt,3,"6,7,8",True,6,6,"5,6,7,8,9,10",True,5,1,5,True,5
sla,260,300,18300,17989,-9.847501984010846,-10.256887777777777,-0.4093857937669316,-7.840335515582669,-10.983886111111111,-10.324233333333334,-3.143550595528443,0.6596527777777776,270.94571712029256,511.5275484646907,-88.79336935139165,0.05,experiments/results/m46_mr2/offline_train/sla/seed260/dqn/offline_closed_loop/rep_0/checkpoint.pt,3,"6,7,8",True,6,6,"5,6,7,8,9,10",True,5,1,5,True,5
sla,261,300,18300,17988,-9.85817541930345,-10.22679,-0.3686145806965495,-8.052113548258623,-10.974502777777777,-10.287613888888888,-2.9223892295191547,0.6868888888888893,286.567230579825,442.43418809133345,-54.391061111954606,0.05,experiments/results/m46_mr2/offline_train/sla/seed261/dqn/offline_closed_loop/rep_0/checkpoint.pt,3,"6,7,8",True,6,6,"5,6,7,8,9,10",True,5,1,5,True,5
