era,train_seed,slice,n_valid,pct_at_exact_cap,n_at_floor,value_distribution
MR3,256,urllc,19982,100.0,0,{8: 19982}
MR3,256,embb,19750,96.12,0,"{8: 256, 9: 510, 10: 18984}"
MR3,257,urllc,23535,95.98,314,"{6: 314, 7: 632, 8: 22589}"
MR3,257,embb,23534,89.3,0,"{8: 2207, 9: 311, 10: 21016}"
MR3c,256,urllc,23801,99.99,0,"{7: 3, 8: 23798}"
MR3c,256,embb,23802,94.71,0,"{7: 318, 8: 316, 9: 625, 10: 22543}"
MR3c,257,urllc,24332,96.06,317,"{6: 317, 7: 642, 8: 23373}"
MR3c,257,embb,24332,89.52,0,"{7: 3, 8: 2231, 9: 316, 10: 21782}"
PF21a,258,urllc,20690,99.99,0,"{7: 2, 8: 20688}"
PF21a,258,embb,20690,95.15,0,"{7: 232, 8: 246, 9: 526, 10: 19686}"
PF21a,259,urllc,20599,100.0,0,"{7: 1, 8: 20598}"
PF21a,259,embb,20599,97.36,0,"{7: 1, 8: 269, 9: 274, 10: 20055}"
PF21a,260,urllc,20117,94.51,275,"{6: 275, 7: 830, 8: 19012}"
PF21a,260,embb,20117,93.16,0,"{7: 3, 8: 824, 9: 548, 10: 18742}"
