reward_mode,seed,n_episodes,n_omega_lines,n_train_step_calls,reward_Q1_mean,reward_Q4_mean,reward_improvement,reward_decile1_mean,reward_decile3_mean,reward_decile10_mean,reward_decile1_to_3_drop,reward_decile3_to_10_drift,loss_Q1_mean,loss_Q4_mean,loss_reduction_pct,final_epsilon,checkpoint_path,urllc_maxratio_distinct_count,urllc_maxratio_values,urllc_full_range_exercised,urllc_minratio_values,embb_maxratio_distinct_count,embb_maxratio_values,embb_full_range_exercised,embb_minratio_values,mmtc_maxratio_distinct_count,mmtc_maxratio_values,mmtc_full_range_exercised,mmtc_minratio_values
qoe,262,300,18300,17988,-0.3118044642198343,-0.3438808408675192,-0.03207637664768487,-0.2141414664060531,-0.382599107608526,-0.3462083542194877,-0.1684576412024729,0.0363907533890383,0.27466476514337057,0.5758127522651622,-109.64201650131469,0.05,experiments/results/m46_mr2/offline_train/qoe/seed262/dqn/offline_closed_loop/rep_0/checkpoint.pt,3,"6,7,8",True,6,6,"5,6,7,8,9,10",True,5,1,5,True,5
qoe,263,300,18300,17988,-0.22877217243137754,-0.3449294349381901,-0.11615726250681258,-0.15481962094123586,-0.34911130880038865,-0.3376444728516602,-0.1942916878591528,0.011466835948728438,0.110878041758912,0.5691344943666994,-413.2977506981938,0.05,experiments/results/m46_mr2/offline_train/qoe/seed263/dqn/offline_closed_loop/rep_0/checkpoint.pt,3,"6,7,8",True,6,6,"5,6,7,8,9,10",True,5,1,5,True,5
qoe,264,300,18300,17988,-0.2877384113975593,-0.355740230746551,-0.06800181934899169,-0.16225264380230536,-0.3803103266798306,-0.376481578772568,-0.21805768287752525,0.0038287479072626196,0.23202104905736917,0.5071360445268075,-118.57329177121935,0.05,experiments/results/m46_mr2/offline_train/qoe/seed264/dqn/offline_closed_loop/rep_0/checkpoint.pt,3,"6,7,8",True,6,6,"5,6,7,8,9,10",True,5,1,5,True,5
qoe,265,300,18300,17988,-0.18238058594717216,-0.3573612823789759,-0.17498069643180375,-0.10665815162768068,-0.28264200569849185,-0.35651824014286315,-0.17598385407081119,-0.0738762344443713,0.11117814961134412,0.610477409668243,-449.0983721192934,0.05,experiments/results/m46_mr2/offline_train/qoe/seed265/dqn/offline_closed_loop/rep_0/checkpoint.pt,3,"6,7,8",True,6,6,"5,6,7,8,9,10",True,5,1,5,True,5
qoe,266,300,18300,17988,-0.29545320388347257,-0.33916513583988567,-0.0437119319564131,-0.17092410367269248,-0.3773026221975628,-0.3529486617762851,-0.2063785185248703,0.024353960421277687,0.28626624787420113,0.5487194675723028,-91.68151035864906,0.05,experiments/results/m46_mr2/offline_train/qoe/seed266/dqn/offline_closed_loop/rep_0/checkpoint.pt,3,"6,7,8",True,6,6,"5,6,7,8,9,10",True,5,1,5,True,5
qoe,267,300,18300,17989,-0.2840863386653449,-0.3307143695114688,-0.046628030846123936,-0.1461389155474376,-0.3473256463668959,-0.34028200554980426,-0.2011867308194583,0.007043640817091634,0.18334025378746693,0.5007032150132362,-173.10053557232726,0.05,experiments/results/m46_mr2/offline_train/qoe/seed267/dqn/offline_closed_loop/rep_0/checkpoint.pt,3,"6,7,8",True,6,6,"5,6,7,8,9,10",True,5,1,5,True,5
sla,262,300,18300,17988,-10.019163745752676,-10.057146666666666,-0.037982920913989915,-8.135251031048359,-10.935125,-10.190144444444444,-2.7998739689516405,0.7449805555555553,317.4837004104561,557.308128622497,-75.53913095443511,0.05,experiments/results/m46_mr2/offline_train/sla/seed262/dqn/offline_closed_loop/rep_0/checkpoint.pt,3,"6,7,8",True,6,6,"5,6,7,8,9,10",True,5,1,5,True,5
sla,263,300,18300,17988,-5.184132271220158,-10.304182222222222,-5.120049951002064,-3.3484061449850033,-8.490477777777778,-10.28196111111111,-5.142071632792775,-1.791483333333332,53.84903836809637,467.0538299029897,-767.3392210095665,0.05,experiments/results/m46_mr2/offline_train/sla/seed263/dqn/offline_closed_loop/rep_0/checkpoint.pt,3,"6,7,8",True,6,6,"5,6,7,8,9,10",True,5,1,5,True,5
sla,264,300,18300,17988,-9.13288111111111,-8.51751,0.6153711111111111,-5.898158333333333,-10.910244444444444,-10.157297222222223,-5.0120861111111115,0.7529472222222218,223.61096738337517,405.0819413418608,-81.15477343620556,0.05,experiments/results/m46_mr2/offline_train/sla/seed264/dqn/offline_closed_loop/rep_0/checkpoint.pt,3,"6,7,8",True,6,6,"5,6,7,8,9,10",True,5,1,5,True,5
sla,265,300,18300,17988,-3.172967196869315,-10.171198888888888,-6.998231692019573,-2.9403363189190457,-4.781655555555556,-10.226666666666667,-1.8413192366365103,-5.445011111111111,43.27738802953113,539.3673936611603,-1146.3030192420877,0.05,experiments/results/m46_mr2/offline_train/sla/seed265/dqn/offline_closed_loop/rep_0/checkpoint.pt,3,"6,7,8",True,6,6,"5,6,7,8,9,10",True,5,1,5,True,5
