gate,reward_mode,seed,seed_independence_confirmed,urllc_full_range_exercised,embb_full_range_exercised,urllc_maxratio_values,embb_maxratio_values,final_epsilon,reward_Q1_mean,reward_Q4_mean,loss_Q1_mean,loss_Q4_mean,checkpoint_path,config,env,episodes,algorithm
M47-2-1,qoe,262,True,True,True,"6,7,8","5,6,7,8,9,10",0.05,-0.3118044642198343,-0.3438808408675192,0.27466476514337057,0.5758127522651622,experiments/results/m46_mr2/offline_train/qoe/seed262/dqn/offline_closed_loop/rep_0/checkpoint.pt,experiments/configs/m46/saclb_m46_train.yaml,ClosedLoopKpmSource,300,dqn
M47-2-1,qoe,263,True,True,True,"6,7,8","5,6,7,8,9,10",0.05,-0.22877217243137754,-0.3449294349381901,0.110878041758912,0.5691344943666994,experiments/results/m46_mr2/offline_train/qoe/seed263/dqn/offline_closed_loop/rep_0/checkpoint.pt,experiments/configs/m46/saclb_m46_train.yaml,ClosedLoopKpmSource,300,dqn
M47-2-1,qoe,264,True,True,True,"6,7,8","5,6,7,8,9,10",0.05,-0.2877384113975593,-0.355740230746551,0.23202104905736917,0.5071360445268075,experiments/results/m46_mr2/offline_train/qoe/seed264/dqn/offline_closed_loop/rep_0/checkpoint.pt,experiments/configs/m46/saclb_m46_train.yaml,ClosedLoopKpmSource,300,dqn
M47-2-1,qoe,265,True,True,True,"6,7,8","5,6,7,8,9,10",0.05,-0.18238058594717216,-0.3573612823789759,0.11117814961134412,0.610477409668243,experiments/results/m46_mr2/offline_train/qoe/seed265/dqn/offline_closed_loop/rep_0/checkpoint.pt,experiments/configs/m46/saclb_m46_train.yaml,ClosedLoopKpmSource,300,dqn
M47-2-1,qoe,266,True,True,True,"6,7,8","5,6,7,8,9,10",0.05,-0.29545320388347257,-0.33916513583988567,0.28626624787420113,0.5487194675723028,experiments/results/m46_mr2/offline_train/qoe/seed266/dqn/offline_closed_loop/rep_0/checkpoint.pt,experiments/configs/m46/saclb_m46_train.yaml,ClosedLoopKpmSource,300,dqn
M47-2-1,qoe,267,True,True,True,"6,7,8","5,6,7,8,9,10",0.05,-0.2840863386653449,-0.3307143695114688,0.18334025378746693,0.5007032150132362,experiments/results/m46_mr2/offline_train/qoe/seed267/dqn/offline_closed_loop/rep_0/checkpoint.pt,experiments/configs/m46/saclb_m46_train.yaml,ClosedLoopKpmSource,300,dqn
M47-2-1,sla,262,True,True,True,"6,7,8","5,6,7,8,9,10",0.05,-10.019163745752676,-10.057146666666666,317.4837004104561,557.308128622497,experiments/results/m46_mr2/offline_train/sla/seed262/dqn/offline_closed_loop/rep_0/checkpoint.pt,experiments/configs/m46/saclb_m46_train.yaml,ClosedLoopKpmSource,300,dqn
M47-2-1,sla,263,True,True,True,"6,7,8","5,6,7,8,9,10",0.05,-5.184132271220158,-10.304182222222222,53.84903836809637,467.0538299029897,experiments/results/m46_mr2/offline_train/sla/seed263/dqn/offline_closed_loop/rep_0/checkpoint.pt,experiments/configs/m46/saclb_m46_train.yaml,ClosedLoopKpmSource,300,dqn
M47-2-1,sla,264,True,True,True,"6,7,8","5,6,7,8,9,10",0.05,-9.13288111111111,-8.51751,223.61096738337517,405.0819413418608,experiments/results/m46_mr2/offline_train/sla/seed264/dqn/offline_closed_loop/rep_0/checkpoint.pt,experiments/configs/m46/saclb_m46_train.yaml,ClosedLoopKpmSource,300,dqn
M47-2-1,sla,265,True,True,True,"6,7,8","5,6,7,8,9,10",0.05,-3.172967196869315,-10.171198888888888,43.27738802953113,539.3673936611603,experiments/results/m46_mr2/offline_train/sla/seed265/dqn/offline_closed_loop/rep_0/checkpoint.pt,experiments/configs/m46/saclb_m46_train.yaml,ClosedLoopKpmSource,300,dqn
M47-2-1,sla,266,True,True,True,"6,7,8","5,6,7,8,9,10",0.05,-9.357555967061728,-8.559891111111112,257.69990480696333,424.23463624976915,experiments/results/m46_mr2/offline_train/sla/seed266/dqn/offline_closed_loop/rep_0/checkpoint.pt,experiments/configs/m46/saclb_m46_train.yaml,ClosedLoopKpmSource,300,dqn
M47-2-1,sla,267,True,True,True,"6,7,8","5,6,7,8,9,10",0.05,-8.591240984233117,-7.813933333333333,180.1247962618871,155.7079188922047,experiments/results/m46_mr2/offline_train/sla/seed267/dqn/offline_closed_loop/rep_0/checkpoint.pt,experiments/configs/m46/saclb_m46_train.yaml,ClosedLoopKpmSource,300,dqn
