mode,train_seed,eval_seed,error,coupling_pass,urllc_uncapped_n,embb_uncapped_n,in_band_pass,urllc_r,embb_r,responsiveness_pass,pwc,pwc_eq,shed_classification,overall_pass
qoe,264,972,,True,0,0,True,0.06198162175873055,0.0034653575147998794,True,0.3654538874595352,0.34248567545608766,indiscriminate_failure,True
qoe,262,970,,True,0,0,True,-0.9760740086664453,-0.8862650714779878,True,0.21245562125892675,0.1876305888514448,indiscriminate_failure,True
qoe,266,974,,True,0,0,True,-0.9706638895773168,-0.8865258393247288,True,0.3206325788098724,0.281967160704784,indiscriminate_failure,True
qoe,265,973,,True,0,0,True,-0.9024493167454037,-0.06487868651419393,True,0.3720165989753388,0.34900123739896627,indiscriminate_failure,True
sla,265,1073,,True,0,0,True,-0.07958489450666666,-0.0003304980396498505,True,0.5418803323984455,0.4914033111445203,correct_shed,True
sla,267,1075,,True,0,0,True,-0.9163742242238783,-0.05793334439709572,True,0.5885393559841765,0.5328435095666071,correct_shed,True
sla,266,1074,,True,0,0,True,-0.04608424521722274,-0.0024684463225972614,True,0.48942799956845834,0.4436561738281618,correct_shed,True
sla,264,1072,,True,0,0,True,-0.06941824391891672,0.0204590538958528,True,0.5427772685168138,0.49186698222575603,correct_shed,True
sla,263,1071,,True,0,0,True,-0.06174626095422888,0.00309001526367874,True,0.5510527461273118,0.4990085339904374,correct_shed,True
qoe,263,971,,True,0,0,True,-0.06381470395754948,-0.06363024866458263,True,0.46479616072798535,0.4220794378798142,indiscriminate_failure,True
