Connecting to host 172.22.0.50, port 5205
Reverse mode, remote host 172.22.0.50 is sending
[  5] local 192.168.102.3 port 60220 connected to 172.22.0.50 port 5205
[ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[  5]   0.00-1.00   sec  36.8 KBytes   301 Kbits/sec  1.848 ms  0/377 (0%)  
[  5]   1.00-2.00   sec  36.6 KBytes   300 Kbits/sec  1.629 ms  0/375 (0%)  
[  5]   2.00-3.00   sec  36.5 KBytes   299 Kbits/sec  1.427 ms  0/374 (0%)  
[  5]   3.00-4.00   sec  36.7 KBytes   301 Kbits/sec  1.562 ms  0/376 (0%)  
[  5]   4.00-5.00   sec  36.5 KBytes   299 Kbits/sec  1.484 ms  0/374 (0%)  
[  5]   5.00-6.00   sec  36.7 KBytes   301 Kbits/sec  1.717 ms  0/376 (0%)  
[  5]   6.00-7.00   sec  36.6 KBytes   300 Kbits/sec  1.343 ms  0/375 (0%)  
[  5]   7.00-8.00   sec  36.6 KBytes   300 Kbits/sec  1.636 ms  0/375 (0%)  
[  5]   8.00-9.00   sec  36.6 KBytes   300 Kbits/sec  1.810 ms  0/375 (0%)  
[  5]   9.00-10.00  sec  36.5 KBytes   299 Kbits/sec  2.022 ms  0/374 (0%)  
[  5]  10.00-11.00  sec  36.6 KBytes   300 Kbits/sec  1.577 ms  0/375 (0%)  
[  5]  11.00-12.00  sec  36.6 KBytes   300 Kbits/sec  1.289 ms  0/375 (0%)  
[  5]  12.00-13.00  sec  36.6 KBytes   300 Kbits/sec  1.482 ms  0/375 (0%)  
[  5]  13.00-14.00  sec  36.6 KBytes   300 Kbits/sec  1.480 ms  0/375 (0%)  
[  5]  14.00-15.00  sec  36.6 KBytes   300 Kbits/sec  1.666 ms  0/375 (0%)  
[  5]  15.00-16.00  sec  36.7 KBytes   301 Kbits/sec  1.451 ms  0/376 (0%)  
[  5]  16.00-17.00  sec  36.5 KBytes   299 Kbits/sec  1.826 ms  0/374 (0%)  
[  5]  17.00-18.00  sec  36.6 KBytes   300 Kbits/sec  1.571 ms  0/375 (0%)  
[  5]  18.00-19.00  sec  36.6 KBytes   300 Kbits/sec  1.423 ms  0/375 (0%)  
[  5]  19.00-20.00  sec  36.6 KBytes   300 Kbits/sec  1.387 ms  0/375 (0%)  
[  5]  20.00-21.00  sec  36.6 KBytes   300 Kbits/sec  1.290 ms  0/375 (0%)  
[  5]  21.00-22.00  sec  36.7 KBytes   301 Kbits/sec  1.379 ms  0/376 (0%)  
[  5]  22.00-23.00  sec  15.8 KBytes   130 Kbits/sec  1.600 ms  0/162 (0%)  
[  5]  23.00-24.00  sec  31.4 KBytes   258 Kbits/sec  1.499 ms  266/588 (45%)  
[  5]  24.00-25.00  sec  36.6 KBytes   300 Kbits/sec  1.385 ms  0/375 (0%)  
[  5]  25.00-26.00  sec  36.5 KBytes   298 Kbits/sec  1.568 ms  0/374 (0%)  
[  5]  26.00-27.00  sec  36.7 KBytes   301 Kbits/sec  1.320 ms  0/376 (0%)  
[  5]  27.00-28.00  sec  36.6 KBytes   300 Kbits/sec  1.411 ms  0/375 (0%)  
[  5]  28.00-29.00  sec  36.5 KBytes   299 Kbits/sec  1.571 ms  0/374 (0%)  
[  5]  29.00-30.00  sec  36.6 KBytes   299 Kbits/sec  1.377 ms  0/376 (0%)  
[  5]  30.00-31.00  sec  36.4 KBytes   299 Kbits/sec  1.615 ms  0/373 (0%)  
[  5]  31.00-32.00  sec  36.9 KBytes   302 Kbits/sec  1.470 ms  0/378 (0%)  
[  5]  32.00-33.00  sec  36.5 KBytes   300 Kbits/sec  1.400 ms  0/374 (0%)  
[  5]  33.00-34.00  sec  36.6 KBytes   300 Kbits/sec  1.819 ms  0/375 (0%)  
[  5]  34.00-35.00  sec  36.6 KBytes   300 Kbits/sec  1.464 ms  0/375 (0%)  
[  5]  35.00-36.00  sec  36.6 KBytes   299 Kbits/sec  1.695 ms  0/375 (0%)  
[  5]  36.00-37.00  sec  36.5 KBytes   300 Kbits/sec  1.425 ms  0/374 (0%)  
[  5]  37.00-38.00  sec  36.6 KBytes   300 Kbits/sec  1.771 ms  0/375 (0%)  
[  5]  38.00-39.00  sec  36.7 KBytes   301 Kbits/sec  1.443 ms  0/376 (0%)  
[  5]  39.00-40.00  sec  36.6 KBytes   300 Kbits/sec  2.097 ms  0/375 (0%)  
